id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
1,22/10/2014 00:00,1495000,4,3.25,3070,10375,2,No,No View,Average,10,1962,98004,47.5862,-122.198
2,26/11/2014 00:00,1495000,4,3.75,3770,4000,2.5,No,No View,Very Good,9,1916,98122,47.6157,-122.287
3,29/01/2015 00:00,1490000,4,2.5,2420,18480,1,No,No View,Good,9,1967,98004,47.6214,-122.227
4,31/03/2015 00:00,1490000,3,3.5,4560,14608,2,No,Average,Average,12,1990,98034,47.6995,-122.228
5,11/09/2014 00:00,1490000,5,3.5,3620,7821,2,No,Average,Average,10,1958,98040,47.5738,-122.215
6,22/08/2014 00:00,1488000,5,6,6880,279968,2,No,Good,Average,12,2007,98045,47.4624,-121.779
7,18/07/2014 00:00,1488000,4,4.25,5180,13077,2,No,Good,Average,12,1998,98006,47.5513,-122.109
8,12/06/2014 00:00,1485000,4,3.75,4030,10800,2,No,No View,Average,10,2006,98033,47.6821,-122.196
9,01/10/2014 00:00,1485000,4,3.25,3730,7200,2,No,No View,Average,10,2006,98033,47.6824,-122.199
10,06/05/2015 00:00,1485000,6,2.75,4430,6440,2,No,Good,Average,10,1964,98118,47.5462,-122.265
11,02/10/2014 00:00,1485000,4,3.5,3930,6120,2,No,No View,Average,10,2007,98105,47.6646,-122.28
12,23/09/2014 00:00,1484900,5,2.5,4570,19252,2,No,No View,Very Good,10,1965,98040,47.5553,-122.22
13,07/05/2015 00:00,1482500,3,2.25,3290,5000,2,No,No View,Average,9,1939,98105,47.6582,-122.28
14,20/08/2014 00:00,1481000,4,3.5,5220,15411,2,No,Good,Average,11,2006,98075,47.592,-122.085
15,28/07/2014 00:00,1480000,3,3.5,4070,26000,2,No,No View,Average,11,1991,98033,47.659,-122.174
16,23/07/2014 00:00,1480000,4,2.25,3920,7200,2,No,No View,Average,10,1928,98144,47.5731,-122.284
17,11/07/2014 00:00,1480000,3,3.25,3700,2264,2,No,No View,Average,11,1998,98033,47.6653,-122.205
18,21/07/2014 00:00,1476000,3,2.25,4470,22518,2,No,Average,Average,9,1953,98006,47.574,-122.18
19,14/01/2015 00:00,1475000,5,4,4770,31570,2,No,No View,Average,12,1990,98006,47.5468,-122.123
20,10/12/2014 00:00,1475000,5,3.25,3680,10300,1.5,No,No View,Good,10,1927,98105,47.6548,-122.28
21,18/02/2015 00:00,1475000,3,2.75,3910,7080,1,No,No View,Very Good,9,1949,98112,47.6324,-122.289
22,27/08/2014 00:00,1475000,4,3,3050,6179,2,No,No View,Good,9,1926,98112,47.6253,-122.284
23,21/04/2015 00:00,1475000,3,2.5,2570,5000,2,No,No View,Average,11,1984,98102,47.6295,-122.32
24,20/11/2014 00:00,1470000,4,2.5,3030,10189,1,No,No View,Average,9,2003,98004,47.6367,-122.206
25,19/05/2014 00:00,1468000,4,3.25,5010,34460,2,No,No View,Average,12,1988,98006,47.5469,-122.127
26,02/01/2015 00:00,1465000,4,4,4930,22093,2,No,Good,Average,12,2004,98075,47.5874,-121.965
27,06/02/2015 00:00,1465000,3,1.5,2480,9900,2,No,Good,Average,10,1940,98177,47.7018,-122.381
28,09/07/2014 00:00,1465000,6,4.5,4230,6420,2,No,Good,Good,8,1916,98119,47.6301,-122.369
29,30/10/2014 00:00,1465000,4,2.5,2800,4000,2,No,No View,Average,9,2011,98103,47.6695,-122.339
30,20/06/2014 00:00,1462500,5,3.25,3840,4800,3,No,Good,Average,10,2008,98144,47.5929,-122.29
31,17/10/2014 00:00,1460000,4,3.5,4200,14353,2,No,Average,Average,12,1996,98040,47.5331,-122.217
32,28/04/2015 00:00,1459000,4,4,4620,130208,2,No,No View,Average,10,2014,98024,47.5885,-121.939
33,29/09/2014 00:00,1457000,4,1.5,2650,6900,2,No,No View,Good,9,1909,98112,47.6275,-122.305
34,25/02/2015 00:00,1454000,5,4,4070,11334,2,No,No View,Average,10,2014,98033,47.6771,-122.187
35,19/03/2015 00:00,1452000,2,3.25,2070,3128,2,Yes,Good,Average,9,1988,98075,47.5686,-122.06
36,24/11/2014 00:00,1450000,4,3.5,4300,108865,2,No,No View,Average,11,2014,98074,47.6258,-122.005
37,01/04/2015 00:00,1450000,4,3.5,5000,38012,2,No,No View,Average,11,2004,98029,47.554,-122.036
38,02/05/2015 00:00,1450000,3,4.5,3970,24920,2,No,Average,Average,10,1977,98034,47.7183,-122.258
39,13/10/2014 00:00,1450000,4,3.5,4360,24603,2,No,No View,Average,12,1998,98074,47.6035,-122.005
40,31/10/2014 00:00,1450000,5,2.75,3090,19865,1,No,No View,Good,9,1953,98039,47.6232,-122.235
41,02/03/2015 00:00,1450000,4,2.75,2750,17789,1.5,No,No View,Average,8,1914,98004,47.6141,-122.212
42,24/02/2015 00:00,1450000,3,3.5,4110,15720,1,No,Fair,Average,10,2000,98034,47.6996,-122.229
43,27/03/2015 00:00,1450000,3,1.75,2230,13529,1,No,No View,Average,9,1949,98004,47.6204,-122.217
44,07/10/2014 00:00,1450000,3,2.75,3940,9671,1,No,Excellent,Very Good,9,1967,98006,47.5654,-122.158
45,21/10/2014 00:00,1450000,5,3.5,4170,9090,2,No,No View,Average,10,2008,98004,47.5918,-122.196
46,25/03/2015 00:00,1450000,4,3.5,3720,8301,2,No,No View,Average,10,2008,98004,47.5885,-122.199
47,27/03/2015 00:00,1450000,4,3.5,2820,7809,2,No,No View,Average,10,1995,98004,47.622,-122.195
48,13/10/2014 00:00,1450000,3,3,4380,6320,2,No,Good,Very Good,10,1952,98199,47.6452,-122.411
49,07/07/2014 00:00,1450000,4,3.25,3770,4103,2,No,No View,Very Good,9,1925,98109,47.641,-122.349
50,05/08/2014 00:00,1450000,4,3.25,3100,3900,2,No,Average,Very Good,9,1923,98109,47.6385,-122.348
51,27/02/2015 00:00,1450000,4,3.5,2860,2199,3,No,No View,Average,10,2013,98102,47.6262,-122.323
52,01/04/2015 00:00,1445000,4,3.5,3470,8580,2,No,No View,Average,11,2007,98199,47.6433,-122.403
53,07/08/2014 00:00,1445000,4,2.5,3200,3600,3,No,Good,Good,9,1997,98119,47.632,-122.369
54,01/12/2014 00:00,1444000,4,2.75,2660,9547,1,No,Fair,Average,8,1968,98004,47.616,-122.218
55,06/10/2014 00:00,1443920,4,3,3720,5000,2.5,No,No View,Very Good,9,1905,98102,47.6282,-122.322
56,28/08/2014 00:00,1442500,2,2.5,2720,16637,1,No,Good,Average,10,1953,98118,47.5499,-122.264
57,23/04/2015 00:00,1442500,3,2.25,2630,9705,2.5,No,Average,Good,8,1987,98052,47.6485,-122.121
58,14/10/2014 00:00,1440000,4,1.75,2410,6000,1.5,No,No View,Average,8,1911,98109,47.6369,-122.355
59,19/06/2014 00:00,1440000,3,3.5,3870,3819,2,No,No View,Average,11,2002,98102,47.6452,-122.317
60,01/12/2014 00:00,1438890,5,3.5,3420,8000,2,No,No View,Average,10,2006,98040,47.5736,-122.212
61,02/09/2014 00:00,1437500,4,3.75,4410,9231,3,No,Good,Average,11,2001,98118,47.5427,-122.265
62,30/03/2015 00:00,1436000,4,3.5,4970,16582,2,No,Good,Good,11,1992,98006,47.5496,-122.12
63,06/11/2014 00:00,1430800,4,2.5,2910,7364,2,No,No View,Average,10,2003,98033,47.6906,-122.213
64,11/09/2014 00:00,1430000,4,2.5,3380,27589,2,No,No View,Average,10,1966,98004,47.6292,-122.225
65,03/03/2015 00:00,1430000,3,2,1890,12017,1,No,Average,Average,8,1949,98004,47.6203,-122.21
66,04/03/2015 00:00,1430000,3,2.75,2710,9204,1.5,No,Excellent,Average,9,1975,98177,47.7039,-122.385
67,29/10/2014 00:00,1430000,5,4.25,3350,3600,2,No,No View,Average,10,2014,98119,47.6351,-122.364
68,24/03/2015 00:00,1425000,4,5,4630,24054,2,No,Good,Average,11,2005,98075,47.587,-121.966
69,29/12/2014 00:00,1425000,5,3,2840,6240,2,No,No View,Very Good,9,1905,98112,47.6285,-122.309
70,29/05/2014 00:00,1425000,4,4.25,4960,6000,2.5,No,No View,Average,11,1909,98109,47.6437,-122.356
71,05/05/2014 00:00,1425000,2,2.5,2220,4000,2,No,No View,Average,9,2000,98112,47.6364,-122.28
72,01/04/2015 00:00,1420000,5,3.25,3950,11438,2,No,Average,Average,10,2006,98033,47.6898,-122.189
73,28/10/2014 00:00,1419000,5,3.25,4020,4500,2,No,No View,Average,9,2010,98004,47.6349,-122.204
74,05/06/2014 00:00,1415000,4,5.25,4670,43950,2,No,No View,Average,12,1989,98006,47.5456,-122.126
75,09/10/2014 00:00,1415000,4,3.25,3600,38016,2,No,Average,Average,11,1991,98034,47.7124,-122.253
76,11/08/2014 00:00,1415000,4,3,3110,4408,2.5,No,Good,Good,10,1931,98105,47.6583,-122.27
77,02/07/2014 00:00,1411600,2,2.5,3180,9400,2,No,Excellent,Very Good,10,1985,98006,47.5617,-122.158
78,20/04/2015 00:00,1410000,2,2,2180,18525,1,Yes,Excellent,Very Good,9,1952,98146,47.5036,-122.387
79,26/06/2014 00:00,1410000,4,2.25,3250,16684,2,No,No View,Average,9,1979,98039,47.6334,-122.229
80,25/08/2014 00:00,1408760,4,4,4920,50621,2,No,No View,Average,10,2012,98053,47.6575,-122.006
81,05/12/2014 00:00,1406890,5,2.25,3580,16789,2,No,No View,Very Good,9,1966,98040,47.5364,-122.239
82,19/05/2014 00:00,1405000,4,3.5,3410,10769,2,No,No View,Average,10,2008,98004,47.6081,-122.198
83,27/04/2015 00:00,1400000,4,3.5,4380,66613,1.5,No,No View,Average,11,1993,98077,47.7279,-122.048
84,24/03/2015 00:00,1400000,5,3.25,4140,32700,1,No,Excellent,Average,10,1973,98177,47.7633,-122.369
85,09/04/2015 00:00,1400000,5,4,4700,22326,2,No,No View,Average,11,2002,98006,47.5417,-122.111
86,08/04/2015 00:00,1400000,3,2.75,3130,19530,1,Yes,Excellent,Average,8,1947,98008,47.5895,-122.111
87,05/08/2014 00:00,1400000,5,3,3850,14990,1,No,No View,Good,9,1964,98004,47.6425,-122.218
88,09/12/2014 00:00,1400000,4,3.25,4290,12103,1,No,Good,Average,11,1997,98006,47.5503,-122.102
89,31/10/2014 00:00,1400000,4,4.5,3080,10550,2,No,Good,Average,8,1976,98040,47.5806,-122.244
90,04/08/2014 00:00,1400000,4,2.5,4040,9630,1,No,Good,Good,9,1951,98199,47.6408,-122.41
91,09/10/2014 00:00,1400000,5,3.25,4300,9270,2,No,Good,Average,10,1957,98116,47.5717,-122.409
92,28/05/2014 00:00,1400000,4,3.25,4700,9160,1,No,Excellent,Average,11,2005,98116,47.5744,-122.406
93,02/04/2015 00:00,1400000,4,2.5,2770,8879,2,No,No View,Average,9,2001,98004,47.5831,-122.193
94,13/05/2014 00:00,1400000,5,4.25,3530,7924,2,No,No View,Average,10,2001,98040,47.5894,-122.243
95,11/12/2014 00:00,1400000,5,3.75,3700,7920,3,No,Excellent,Average,9,1983,98115,47.6865,-122.266
96,25/03/2015 00:00,1400000,4,2.5,3520,7815,2,No,Good,Average,10,1929,98199,47.6429,-122.412
97,29/08/2014 00:00,1400000,4,2.5,4070,7800,3,No,No View,Good,8,2002,98115,47.6838,-122.327
98,14/05/2014 00:00,1400000,3,2.5,2550,7200,2,No,Average,Average,10,1981,98144,47.5996,-122.288
99,28/05/2014 00:00,1400000,4,3.25,2980,7000,2,No,Good,Average,10,1900,98144,47.5933,-122.292
100,22/10/2014 00:00,1400000,5,4.25,4230,6907,2,No,No View,Average,10,2008,98033,47.6866,-122.205
101,30/01/2015 00:00,1400000,3,3.25,3020,6073,2,No,No View,Good,9,1954,98112,47.6332,-122.29
102,18/06/2014 00:00,1400000,3,2,2020,5500,1.5,No,Good,Average,10,1937,98199,47.6388,-122.409
103,22/08/2014 00:00,1400000,4,2.25,3780,5160,2,No,No View,Good,9,1907,98112,47.6275,-122.308
104,02/05/2014 00:00,1400000,4,2.5,2920,4000,1.5,No,No View,Very Good,8,1909,98105,47.6578,-122.28
105,18/06/2014 00:00,1399950,4,2.75,3870,10046,2,No,No View,Average,11,2005,98033,47.6651,-122.191
106,10/10/2014 00:00,1399000,3,2.5,2560,3600,2,No,No View,Average,9,1967,98112,47.632,-122.279
107,02/04/2015 00:00,1398000,5,2.25,2640,14959,1,No,No View,Good,7,1929,98039,47.6191,-122.234
108,27/02/2015 00:00,1398000,3,2.5,2910,10044,2,No,No View,Good,10,1989,98004,47.5845,-122.199
109,29/07/2014 00:00,1395710,4,2.25,3960,8640,2,No,Average,Average,9,1925,98112,47.6317,-122.304
110,28/10/2014 00:00,1395000,4,3,3520,128502,2,No,Average,Good,10,1981,98072,47.7448,-122.117
111,15/08/2014 00:00,1395000,4,3.5,3560,16782,2,No,No View,Average,10,2014,98040,47.5569,-122.225
112,05/05/2014 00:00,1395000,5,3.5,4010,8510,2,No,Fair,Very Good,9,1971,98105,47.6578,-122.286
113,12/12/2014 00:00,1393000,3,3.5,4240,21578,2,No,No View,Average,10,1994,98040,47.5614,-122.215
114,13/03/2015 00:00,1389000,4,3.5,3130,3900,2,No,No View,Average,9,2008,98115,47.6849,-122.327
115,28/04/2015 00:00,1388000,4,2.25,2940,20384,2,No,No View,Good,9,1970,98004,47.6214,-122.227
116,26/06/2014 00:00,1388000,4,3,4040,20001,1,No,No View,Average,9,1972,98004,47.6408,-122.212
117,22/09/2014 00:00,1388000,4,2.5,3450,17400,1.5,No,No View,Good,9,1964,98004,47.5969,-122.206
118,27/03/2015 00:00,1388000,5,1.75,2650,11340,1,No,No View,Average,8,1955,98004,47.626,-122.213
119,18/11/2014 00:00,1388000,3,1.25,2400,6653,3,No,Average,Average,11,1992,98122,47.6019,-122.29
120,26/06/2014 00:00,1387800,3,3,2480,5500,2,No,Good,Average,10,1950,98199,47.6466,-122.404
121,21/04/2015 00:00,1387000,4,4.5,4490,24767,2,No,Average,Average,11,1998,98006,47.5544,-122.147
122,21/04/2015 00:00,1387000,4,3.5,4010,10880,2,No,Good,Good,11,1990,98040,47.5359,-122.213
123,10/04/2015 00:00,1385000,4,3.25,4860,181319,2.5,No,No View,Average,9,1993,98074,47.6179,-122.005
124,30/05/2014 00:00,1385000,6,2.75,5700,20000,1,No,Excellent,Good,10,1977,98006,47.5601,-122.16
125,11/08/2014 00:00,1385000,4,3.5,4010,15365,2,No,Fair,Average,11,2006,98027,47.5528,-122.093
126,30/07/2014 00:00,1385000,4,3.5,3230,7200,1,No,Fair,Average,10,2000,98033,47.6838,-122.212
